id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1168289444790877103,Saughton Mains,142948524,Ori,,Longstone and Saughton,55.9295,-3.26252,Private room,75,1,8,2024-09-05,2.47,1,1,8,
1168592739887663519,"Charming 2BR by Castle, Royal Mile & Grassmarket",108899817,Astor,,"Old Town, Princes Street and Leith Street",55.948068481767145,-3.194589328656856,Entire home/apt,183,5,13,2024-08-26,3.86,1,53,13,
1168616973771588530,The Eyrie | 2 bedrooms in Leith | Edinburgh,580676049,John,,South Leith,55.96855,-3.17228,Entire home/apt,279,2,7,2024-09-07,3.28,1,261,7,
1168623776320483699,Exclusive Main door apartment,224013251,Lisa,,New Town West,55.95677,-3.19586,Entire home/apt,750,3,2,2024-08-18,1.76,1,267,2,
1168684748100781768,En suite room,475982822,Oliver,,Dalry and Fountainbridge,55.94191,-3.21464,Private room,400,1,0,,,1,269,0,
1168789591846673336,Two bed house with parking in Edinburgh,533258936,Marcus,,Blackhall,55.95583925866959,-3.2523651985215842,Entire home/apt,102,10,3,2024-06-10,0.92,1,81,3,
1168845894574680543,Place for rest,566984215,Muhammad,,Clovenstone and Wester Hailes,55.91248729550293,-3.2709024982194,Private room,55,1,3,2024-07-26,1.08,1,269,3,
1168965046635839350,Double room in Forested Leith,3686338,Sara,,Bonnington,55.97095,-3.19101,Private room,92,2,1,2024-07-06,0.43,5,261,1,
1169242950179587504,33 Castle Terrace - One Bedroom,576256217,Hugh,,Tollcross,55.946921896651155,-3.2022741607132055,Entire home/apt,256,1,15,2024-09-07,4.59,4,170,15,
1169255946850803382,33 Castle Terrace 1 Bed+Sofa Bed,576256217,Hugh,,Tollcross,55.94691288506072,-3.2023009828033544,Entire home/apt,328,1,22,2024-09-01,6.73,4,191,22,
1169275841033814612,33 Castle Terrace Two Bedroom,576256217,Hugh,,Tollcross,55.94691288506072,-3.2022044232788183,Entire home/apt,403,1,8,2024-08-20,2.45,4,170,8,
1169369413261329491,The Lochend Two Bedroom Residence,646220,Reserve,,Easter Road and Hawkhill Avenue,55.961063265951125,-3.164309646653281,Entire home/apt,273,1,15,2024-08-26,4.59,46,293,15,
1169625374330732448,Single room in trendy Leith,3686338,Sara,,Bonnington,55.971542987690654,-3.1914321098266107,Private room,48,4,0,,,5,266,0,
1169630264939599425,Historic flat in leafy area,3686338,Sara,,Bonnington,55.97154,-3.18928,Entire home/apt,190,2,1,2024-09-08,1,5,226,1,
1169991462429704523,Unique small space! Bedroom and Bathroom,581008512,Victoria,,Hillside and Calton Hill,55.95678413342918,-3.1738311052322388,Entire home/apt,100,1,31,2024-09-11,9.89,1,205,31,
1170080053659288167,Lovely King-size bed & Central,240219451,Thiago,,Hillside and Calton Hill,55.956601035167076,-3.172478805722674,Private room,92,1,19,2024-08-29,5.76,4,67,19,
1170113233724499761,Beautiful Contemporary Georgian Gem,191194773,Gelsthorpe,,Canonmills and New Town North,55.95874,-3.2007,Entire home/apt,419,2,1,2024-07-14,0.48,5,2,1,
1170159072668008445,Large Dbl Bedroom with en-suite,14931637,Murat,,Deans Village,55.95018,-3.21021,Private room,186,2,2,2024-08-15,1.76,3,65,2,
1170161872747059553,Double bedroom in our home,24227552,Isobel,,Comely Bank,55.958206866289764,-3.223688780736981,Private room,,2,2,2024-07-21,0.72,2,0,2,
1170182290581413526,Lovely apartment for the summer,60485563,Marcus,,Meadowbank and Abbeyhill North,55.95793,-3.16823,Entire home/apt,90,1,5,2024-08-14,2.11,1,71,5,
1170332959184746200,Elizabeth’s home,137715851,Min,,Meadows and Southside,55.94371320108436,-3.191593699157238,Entire home/apt,220,2,8,2024-08-25,2.70,1,52,8,
1170344418174056887,Beautiful flat with views of Arthur seat.,559744336,Jade,,Craigmillar,55.9330047,-3.130265,Entire home/apt,164,2,12,2024-09-08,4.24,1,160,12,
1170378572738643948,Warmth with Character in Town,71424486,Evelyn Lena,,Canonmills and New Town North,55.96056,-3.19579,Private room,130,1,12,2024-08-18,4.34,1,4,12,
1170440116520598568,Large Ground Floor Apartment & Garden,54255009,Liam,,Meadowbank and Abbeyhill North,55.959906148347045,-3.1668305830810506,Private room,,4,2,2024-08-28,0.81,2,0,2,
1170461355659698592,1Bedroom-Ground Floor-Apartment,324618789,Jozef,,North Leith and Newhaven,55.979569532436734,-3.1852255661636018,Entire home/apt,202,2,14,2024-08-30,4.38,8,266,14,
1170813787901931132,Edinburgh Seaside Oasis,170211731,Blair,,Portobello,55.9518,-3.11945,Entire home/apt,200,3,0,,,1,72,0,
